NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Abingdon,"city,",181,1422,0.127285513,119,1146,121,63,37,73,0,119,0,119,20,23,0,119,12,19,0,119,Illinois,,,
Adair,"CDP,",15,78,0.192307692,33,63,36,0,119,16,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Addieville,"village,",23,117,0.196581197,24,88,23,2,3,16,2,3,0,119,0,119,0,119,0,119,2,3,Illinois,,,
Addison,"village,",1475,12086,0.122042032,358,10463,411,71,57,295,44,35,0,119,0,119,0,119,0,119,33,31,Illinois,,,
Adeline,"village,",0,41,0,12,39,13,2,4,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Albany,"village,",14,325,0.043076923,53,306,52,2,4,9,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Albers,"village,",53,355,0.149295775,55,278,51,24,15,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Albion,"city,",174,897,0.193979933,86,699,100,11,13,52,7,11,0,119,6,9,0,119,0,119,0,119,Illinois,,,
Aledo,"city,",127,1486,0.085464334,121,1352,123,0,119,68,7,11,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alexis,"village,",48,417,0.115107914,68,347,70,7,11,27,0,119,0,119,0,119,0,119,11,10,4,6,Illinois,,,
Algonquin,"village,",311,9891,0.031442726,230,9531,250,31,38,117,0,119,0,119,0,119,0,119,18,27,0,119,Illinois,,,
Alhambra,"village,",49,253,0.193675889,41,169,35,31,20,28,4,6,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Allendale,"village,",46,190,0.242105263,42,127,33,12,18,27,0,119,0,119,3,5,0,119,2,3,0,119,Illinois,,,
Allenville,"village,",19,51,0.37254902,21,7,8,24,16,13,0,119,0,119,0,119,0,119,1,2,0,119,Illinois,,,
Allerton,"village,",11,103,0.106796117,34,78,30,14,12,13,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alma,"village,",18,144,0.125,31,115,26,11,15,11,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alorton,"village,",297,717,0.414225941,128,407,101,3,8,71,0,119,0,119,10,15,0,119,0,119,0,119,Illinois,,,
Alpha,"village,",17,300,0.056666667,48,283,46,0,119,13,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alsey,"village,",14,105,0.133333333,28,85,28,0,119,10,0,119,0,119,6,7,0,119,0,119,0,119,Illinois,,,
Alsip,"village,",1019,7369,0.138281992,268,6251,305,37,35,199,0,119,0,119,0,119,0,119,62,49,0,119,Illinois,,,
Altamont,"city,",23,874,0.026315789,107,842,107,5,8,16,0,119,0,119,4,7,0,119,0,119,0,119,Illinois,,,
Alton,"city,",2716,11514,0.235886747,392,8539,359,105,61,330,75,48,0,119,29,30,16,25,10,12,24,36,Illinois,,,
Altona,"village,",31,226,0.137168142,42,177,45,11,10,15,0,119,0,119,3,5,0,119,0,119,4,5,Illinois,,,
Alto,Pass,57,153,0.37254902,42,10,12,76,26,25,0,119,0,119,8,13,0,119,2,4,0,119,"village,",Illinois,,
Alvan,"village,",24,109,0.220183486,26,85,26,0,119,15,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Amboy,"city,",223,887,0.251409245,147,645,121,5,8,76,0,119,0,119,14,17,0,119,0,119,0,119,Illinois,,,
Anchor,"village,",0,57,0,23,57,23,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Andalusia,"village,",21,405,0.051851852,65,384,65,0,119,17,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Andover,"village,",0,209,0,48,209,48,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Anna,"city,",568,1821,0.311916529,251,1198,224,32,30,136,12,19,0,119,0,119,0,119,0,119,11,19,Illinois,,,
Annapolis,"CDP,",0,22,0,17,0,119,15,18,119,0,119,0,119,7,10,0,119,0,119,0,119,Illinois,,,
Annawan,"town,",79,410,0.192682927,57,320,52,8,8,31,0,119,0,119,0,119,0,119,3,5,0,119,Illinois,,,
Antioch,"village,",651,4732,0.137573964,174,4011,165,33,31,127,0,119,0,119,15,24,0,119,22,24,0,119,Illinois,,,
Apple,Canyon,24,266,0.090225564,61,27,23,207,55,21,0,119,0,119,8,11,0,119,0,119,0,119,Lake,"CDP,",Illinois,
Apple,River,18,161,0.111801242,40,5,5,116,35,12,14,10,0,119,6,8,0,119,2,3,0,119,"village,",Illinois,,
Arcola,"city,",266,1060,0.250943396,91,760,71,22,19,76,5,9,0,119,7,11,0,119,0,119,0,119,Illinois,,,
Arenzville,"village,",21,175,0.12,25,151,29,0,119,14,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Argenta,"village,",50,395,0.126582278,50,332,46,10,8,24,0,119,0,119,3,6,0,119,0,119,0,119,Illinois,,,
Arlington,"village,",2,70,0.028571429,15,65,14,3,5,3,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Arlington,Heights,4254,30211,0.140809639,507,25483,522,264,104,410,25,19,0,119,0,119,11,16,67,45,107,58,"village,",Illinois,,
Armington,"village,",11,164,0.067073171,39,153,36,0,119,9,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Aroma,Park,20,309,0.064724919,58,289,58,0,119,16,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Arrowsmith,"village,",3,148,0.02027027,35,138,35,0,119,5,0,119,0,119,7,8,0,119,0,119,0,119,Illinois,,,
Arthur,"village,",285,1005,0.28358209,115,700,109,14,14,72,0,119,6,9,0,119,0,119,0,119,0,119,Illinois,,,
Ashkum,"village,",47,231,0.203463203,40,181,39,0,119,25,3,5,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Ashland,"village,",71,508,0.13976378,59,431,62,6,7,29,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Ashley,"city,",57,256,0.22265625,48,194,46,2,4,28,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Ashmore,"village,",89,336,0.264880952,58,237,47,6,7,35,0,119,0,119,4,7,0,119,0,119,0,119,Illinois,,,
Ashton,"village,",56,407,0.137592138,60,348,59,3,4,23,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Assumption,"city,",103,525,0.196190476,65,416,62,4,6,28,0,119,0,119,2,4,0,119,0,119,0,119,Illinois,,,
Astoria,"town,",85,476,0.178571429,48,364,41,25,18,28,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Athens,"city,",112,885,0.126553672,88,752,84,6,9,46,0,119,0,119,15,12,0,119,0,119,0,119,Illinois,,,
Atkinson,"town,",58,424,0.136792453,73,359,63,7,12,30,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Atlanta,"city,",72,647,0.111282844,72,552,67,5,6,45,0,119,0,119,7,7,4,7,7,7,0,119,Illinois,,,
Atwood,"village,",113,501,0.225548902,71,385,57,3,5,46,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Auburn,"city,",510,1815,0.280991736,138,1292,155,13,20,146,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Augusta,"village,",70,359,0.194986072,52,278,50,0,119,28,0,119,0,119,0,119,0,119,11,17,0,119,Illinois,,,
Aurora,"city,",6571,62404,0.105297737,911,54986,1034,360,112,595,45,68,0,119,31,26,13,22,293,149,105,65,Illinois,,,
Ava,"city,",95,293,0.324232082,73,180,57,15,10,38,0,119,0,119,3,7,0,119,0,119,0,119,Illinois,,,
Aviston,"village,",84,578,0.14532872,60,400,57,80,31,35,0,119,0,119,11,15,0,119,3,6,0,119,Illinois,,,
Avon,"village,",67,358,0.187150838,48,283,40,6,6,34,2,3,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Baldwin,"village,",29,151,0.19205298,39,97,31,4,6,19,9,11,0,119,12,17,0,119,0,119,0,119,Illinois,,,
Banner,"village,",9,63,0.142857143,28,41,18,0,119,14,0,119,0,119,7,10,0,119,6,12,0,119,Illinois,,,
Bannockburn,"village,",24,307,0.078175896,50,283,50,0,119,19,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bardolph,"village,",13,96,0.135416667,26,81,23,0,119,14,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Barrington,"village,",327,3991,0.081934352,209,3623,210,26,30,125,0,119,0,119,0,119,0,119,15,24,0,119,Illinois,,,
Barrington,Hills,26,1497,0.017368069,174,1459,178,12,18,30,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Barry,"city,",148,595,0.248739496,60,440,57,0,119,46,0,119,0,119,7,7,0,119,0,119,0,119,Illinois,,,
Bartelso,"village,",14,207,0.06763285,31,181,32,9,9,9,0,119,0,119,0,119,0,119,3,4,0,119,Illinois,,,
Bartlett,"village,",534,13570,0.039351511,312,12882,350,87,65,151,0,119,0,119,0,119,0,119,29,34,38,40,Illinois,,,
Bartonville,"village,",257,2672,0.096182635,136,2403,168,6,10,113,0,119,0,119,0,119,0,119,0,119,6,11,Illinois,,,
Basco,"village,",9,65,0.138461538,19,56,19,0,119,8,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Batavia,"city,",632,9507,0.066477332,280,8770,272,10,16,152,15,26,0,119,14,23,0,119,40,52,26,30,Illinois,,,
Batchtown,"village,",4,88,0.045454545,30,0,119,76,26,6,0,119,0,119,8,10,0,119,0,119,0,119,Illinois,,,
Bath,"village,",31,133,0.233082707,31,96,34,0,119,25,0,119,0,119,6,9,0,119,0,119,0,119,Illinois,,,
Baylis,"village,",13,80,0.1625,26,65,21,0,119,12,0,119,0,119,2,4,0,119,0,119,0,119,Illinois,,,
Bay,View,6,163,0.036809816,37,122,32,12,14,7,0,119,0,119,6,7,0,119,17,22,0,119,Gardens,"village,",Illinois,
Beach,Park,225,4564,0.049298861,228,4259,244,39,47,104,0,119,0,119,41,50,0,119,0,119,0,119,"village,",Illinois,,
Beardstown,"city,",385,2136,0.180243446,265,1692,294,40,48,138,0,119,0,119,19,21,0,119,0,119,0,119,Illinois,,,
Beason,"CDP,",10,86,0.11627907,36,76,37,0,119,11,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Beaverville,"village,",7,151,0.046357616,35,141,34,3,5,8,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Beckemeyer,"village,",53,454,0.116740088,63,395,64,3,5,27,0,119,0,119,0,119,0,119,0,119,3,5,Illinois,,,
Bedford,Park,12,207,0.057971014,44,195,43,0,119,18,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Beecher,"village,",102,1618,0.063040791,130,1511,136,5,8,54,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Beecher,City,16,158,0.101265823,32,142,33,0,119,10,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Belgium,"village,",27,203,0.133004926,43,176,35,0,119,17,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Belknap,"village,",6,22,0.272727273,10,0,119,16,9,6,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Belle,Prairie,0,50,0,29,0,119,50,29,119,0,119,0,119,0,119,0,119,0,119,0,119,City,"town,",Illinois,
Belle,Rive,42,152,0.276315789,29,108,25,0,119,19,0,119,0,119,0,119,0,119,2,2,0,119,"village,",Illinois,,
Belleville,"city,",4523,18292,0.247266565,500,13301,559,268,103,417,6,11,0,119,69,46,0,119,101,76,24,33,Illinois,,,
Bellevue,"village,",65,793,0.081967213,95,695,95,17,18,36,0,119,0,119,0,119,0,119,16,17,0,119,Illinois,,,
Bellflower,"village,",0,143,0,35,143,35,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bellmont,"village,",16,98,0.163265306,37,73,33,3,5,14,6,9,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bellwood,"village,",387,5911,0.065471155,255,5454,266,56,39,128,0,119,0,119,0,119,0,119,0,119,14,16,Illinois,,,
Belvidere,"city,",850,8642,0.098356862,321,7519,385,126,112,198,40,38,12,20,39,38,0,119,47,57,9,16,Illinois,,,
Bement,"village,",70,697,0.100430416,61,609,60,15,13,26,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Benld,"city,",82,670,0.12238806,79,581,73,7,7,29,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bensenville,"village,",1817,6528,0.278339461,286,4581,379,74,69,278,11,18,0,119,14,21,0,119,20,24,11,17,Illinois,,,
Benson,"village,",6,166,0.036144578,33,160,33,0,119,6,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bentley,"town,",2,11,0.181818182,7,7,6,2,4,4,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Benton,"city,",1176,2977,0.395028552,201,1788,193,0,119,150,0,119,0,119,0,119,0,119,13,20,0,119,Illinois,,,
Berkeley,"village,",107,1744,0.061353211,160,1637,146,0,119,86,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Berlin,"village,",0,73,0,21,65,20,6,5,119,2,3,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Berwyn,"city,",926,18598,0.0497903,477,17277,445,130,58,240,22,25,0,119,0,119,0,119,146,81,97,62,Illinois,,,
Bethalto,"village,",1405,4019,0.34958945,159,2494,183,59,43,191,19,23,0,119,30,35,0,119,0,119,12,18,Illinois,,,
Bethany,"village,",65,565,0.115044248,70,482,63,9,9,33,0,119,0,119,9,10,0,119,0,119,0,119,Illinois,,,
Biggsville,"village,",10,170,0.058823529,36,158,36,2,4,12,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Big,Rock,3,440,0.006818182,85,426,83,11,8,5,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Bingham,"village,",0,38,0,20,30,19,8,8,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bishop,Hill,2,56,0.035714286,18,47,16,7,10,3,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Bismarck,"village,",70,276,0.253623188,52,181,39,22,30,32,3,7,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Blandinsville,"village,",30,316,0.094936709,52,276,43,5,7,26,0,119,0,119,3,5,0,119,2,5,0,119,Illinois,,,
Bloomingdale,"village,",758,8765,0.086480319,270,7938,295,15,23,166,0,119,0,119,0,119,0,119,0,119,54,50,Illinois,,,
Bloomington,"city,",5107,30078,0.169791874,495,24532,584,324,112,391,15,17,0,119,9,14,0,119,51,37,40,37,Illinois,,,
Blue,Island,1052,7803,0.134819941,418,6618,438,70,54,224,0,119,0,119,0,119,0,119,26,26,37,38,"city,",Illinois,,
Blue,Mound,86,582,0.147766323,74,486,70,0,119,37,0,119,0,119,0,119,0,119,10,16,0,119,"village,",Illinois,,
Bluffs,"village,",66,254,0.25984252,42,181,30,3,4,34,0,119,0,119,4,5,0,119,0,119,0,119,Illinois,,,
Bluford,"village,",34,247,0.137651822,40,199,40,8,8,20,0,119,0,119,6,7,0,119,0,119,0,119,Illinois,,,
Bolingbrook,"village,",1068,22141,0.048236304,498,20857,512,86,51,248,26,37,0,119,39,43,0,119,21,33,44,50,Illinois,,,
Bondville,"village,",23,232,0.099137931,60,205,55,4,6,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bone,Gap,20,103,0.194174757,30,71,26,4,7,14,2,5,0,119,6,7,0,119,0,119,0,119,"village,",Illinois,,
Bonfield,"village,",15,109,0.137614679,21,94,21,0,119,12,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bonnie,"village,",36,152,0.236842105,37,94,32,22,14,18,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Boody,"CDP,",0,69,0,67,69,67,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Boulder,Hill,107,2933,0.036481418,226,2817,228,0,119,78,0,119,0,119,0,119,0,119,9,18,0,119,"CDP,",Illinois,,
Bourbonnais,"village,",1061,6200,0.171129032,317,5096,301,11,18,203,16,24,0,119,0,119,0,119,16,17,0,119,Illinois,,,
Bowen,"village,",33,210,0.157142857,47,158,42,5,8,17,0,119,0,119,3,5,0,119,3,5,8,12,Illinois,,,
Braceville,"village,",9,297,0.03030303,59,284,57,4,6,8,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bradford,"village,",47,271,0.173431734,35,204,33,6,6,19,0,119,0,119,6,10,0,119,5,8,3,6,Illinois,,,
Bradley,"village,",718,6093,0.117840144,218,5308,246,31,28,160,0,119,0,119,12,20,0,119,0,119,24,25,Illinois,,,
Braidwood,"city,",185,2304,0.080295139,181,1913,178,176,68,84,0,119,0,119,18,29,0,119,12,20,0,119,Illinois,,,
Breese,"city,",174,1808,0.096238938,140,1556,148,29,32,85,0,119,0,119,14,22,0,119,35,38,0,119,Illinois,,,
Bridgeport,"city,",138,902,0.152993348,115,764,116,0,119,54,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bridgeview,"village,",1376,6067,0.226800725,308,4348,240,112,73,218,184,152,0,119,0,119,16,25,21,33,10,16,Illinois,,,
Brighton,"village,",169,851,0.198589894,94,655,102,15,16,56,0,119,0,119,12,15,0,119,0,119,0,119,Illinois,,,
Brimfield,"village,",48,360,0.133333333,53,298,53,11,10,22,0,119,0,119,3,7,0,119,0,119,0,119,Illinois,,,
Broadlands,"village,",8,119,0.067226891,45,111,40,0,119,9,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Broadview,"village,",350,3200,0.109375,240,2765,269,16,25,150,0,119,0,119,0,119,0,119,46,55,23,36,Illinois,,,
Broadwell,"village,",3,55,0.054545455,23,50,23,2,3,4,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Brocton,"village,",41,182,0.225274725,55,135,49,3,5,29,0,119,0,119,0,119,0,119,3,4,0,119,Illinois,,,
Brookfield,"village,",140,7230,0.019363762,257,6954,257,46,43,83,34,38,0,119,0,119,0,119,15,24,41,39,Illinois,,,
Brooklyn,"village,",44,236,0.186440678,57,189,51,0,119,28,0,119,0,119,0,119,0,119,0,119,3,5,Illinois,,,
Brookport,"city,",117,362,0.32320442,67,226,57,0,119,39,3,5,0,119,16,17,0,119,0,119,0,119,Illinois,,,
Broughton,"village,",10,106,0.094339623,41,73,36,7,8,13,0,119,0,119,13,17,0,119,0,119,3,5,Illinois,,,
Browning,"village,",3,42,0.071428571,21,39,20,0,119,4,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Browns,"village,",4,44,0.090909091,21,40,19,0,119,6,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Brownstown,"village,",23,340,0.067647059,55,280,54,27,17,18,4,6,0,119,2,4,0,119,0,119,4,7,Illinois,,,
Brussels,"village,",0,49,0,16,3,6,42,16,119,0,119,0,119,4,7,0,119,0,119,0,119,Illinois,,,
Bryant,"village,",18,103,0.174757282,33,83,26,0,119,15,0,119,0,119,2,4,0,119,0,119,0,119,Illinois,,,
Buckingham,"village,",4,93,0.043010753,26,87,24,0,119,5,0,119,0,119,0,119,0,119,2,3,0,119,Illinois,,,
Buckley,"village,",40,205,0.195121951,45,165,42,0,119,21,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Buckner,"village,",48,175,0.274285714,35,120,33,4,6,28,0,119,0,119,0,119,0,119,0,119,3,6,Illinois,,,
Buda,"village,",53,246,0.215447154,51,190,45,3,5,33,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Buffalo,"village,",39,166,0.234939759,38,124,34,0,119,16,0,119,0,119,0,119,0,119,3,5,0,119,Illinois,,,
Buffalo,Grove,1097,16350,0.067094801,260,15041,341,161,68,228,0,119,0,119,18,28,0,119,17,20,16,25,"village,",Illinois,,
Bull,Valley,49,444,0.11036036,74,387,77,5,6,30,0,119,0,119,0,119,3,7,0,119,0,119,"village,",Illinois,,
Bulpitt,"village,",18,110,0.163636364,36,90,33,0,119,16,0,119,2,3,0,119,0,119,0,119,0,119,Illinois,,,
Buncombe,"village,",24,54,0.444444444,22,4,6,22,18,15,0,119,0,119,4,5,0,119,0,119,0,119,Illinois,,,
Bunker,Hill,154,758,0.203166227,79,550,73,34,19,46,4,6,0,119,16,12,0,119,0,119,0,119,"city,",Illinois,,
Burbank,"city,",539,8753,0.061578887,259,8117,272,72,45,154,0,119,0,119,0,119,0,119,10,17,15,24,Illinois,,,
Bureau,Junction,7,102,0.068627451,27,95,26,0,119,8,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Burlington,"village,",35,215,0.162790698,59,176,55,4,7,27,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Burnham,"village,",207,1455,0.142268041,137,1213,134,29,18,75,2,4,0,119,0,119,0,119,4,6,0,119,Illinois,,,
Burnt,Prairie,0,22,0,8,0,119,20,8,119,0,119,0,119,2,3,0,119,0,119,0,119,"village,",Illinois,,
Burr,Ridge,184,3909,0.047070862,221,3707,221,18,25,85,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Bush,"village,",33,91,0.362637363,22,55,19,3,4,14,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Bushnell,"city,",108,1497,0.072144289,106,1345,129,34,30,60,0,119,0,119,10,15,0,119,0,119,0,119,Illinois,,,
Butler,"village,",10,72,0.138888889,23,52,20,4,6,9,0,119,0,119,6,10,0,119,0,119,0,119,Illinois,,,
Byron,"city,",301,1224,0.245915033,198,913,161,0,119,111,0,119,0,119,10,17,0,119,0,119,0,119,Illinois,,,
Cabery,"village,",31,115,0.269565217,34,76,28,7,11,27,0,119,1,4,0,119,0,119,0,119,0,119,Illinois,,,
Cahokia,"village,",1694,5230,0.323900574,216,3429,341,46,41,260,33,47,0,119,0,119,0,119,28,45,0,119,Illinois,,,
Cairo,"city,",366,1388,0.263688761,142,918,145,25,26,93,25,28,0,119,0,119,0,119,0,119,54,56,Illinois,,,
Caledonia,"village,",2,66,0.03030303,22,64,23,0,119,4,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Calhoun,"village,",16,82,0.195121951,23,62,19,2,4,16,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Calumet,City,1392,14296,0.097369894,419,12719,432,100,60,220,16,25,0,119,0,119,42,50,0,119,27,33,"city,",Illinois,,
Calumet,Park,309,3172,0.09741488,168,2836,183,0,119,120,0,119,0,119,0,119,0,119,15,24,12,18,"village,",Illinois,,
Camargo,"village,",62,168,0.369047619,35,106,35,0,119,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Cambria,"village,",237,461,0.514099783,78,206,53,10,10,56,0,119,0,119,8,9,0,119,0,119,0,119,Illinois,,,
Cambridge,"village,",98,896,0.109375,107,790,94,8,11,47,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Camden,"village,",0,40,0,16,31,16,6,12,119,0,119,0,119,3,6,0,119,0,119,0,119,Illinois,,,
Campbell,Hill,53,141,0.375886525,42,84,25,2,3,40,0,119,0,119,2,3,0,119,0,119,0,119,"village,",Illinois,,
Camp,Point,152,595,0.255462185,65,420,59,12,10,43,0,119,0,119,0,119,0,119,11,17,0,119,"village,",Illinois,,
Campton,Hills,82,3334,0.024595081,165,3178,177,58,48,76,0,119,0,119,16,25,0,119,0,119,0,119,"village,",Illinois,,
Campus,"village,",0,53,0,22,53,22,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Canton,"city,",825,5291,0.155925156,255,4354,261,53,33,179,0,119,0,119,14,21,0,119,0,119,45,32,Illinois,,,
Cantrall,"village,",12,61,0.196721311,19,49,14,0,119,12,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Capron,"village,",32,418,0.076555024,79,377,80,0,119,19,0,119,0,119,0,119,0,119,0,119,9,15,Illinois,,,
Carbon,Cliff,93,690,0.134782609,107,584,92,7,8,34,0,119,0,119,6,6,0,119,0,119,0,119,"village,",Illinois,,
Carbondale,"city,",5156,9655,0.534023822,525,4314,421,124,63,428,21,24,0,119,0,119,0,119,9,13,31,50,Illinois,,,
Carbon,Hill,31,152,0.203947368,42,119,35,0,119,21,0,119,0,119,2,5,0,119,0,119,0,119,"village,",Illinois,,
Carlinville,"city,",360,2178,0.165289256,216,1787,223,22,22,131,0,119,0,119,0,119,0,119,0,119,9,14,Illinois,,,
Carlock,"village,",2,224,0.008928571,54,214,53,8,10,3,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Carlyle,"city,",139,1441,0.096460791,157,1235,191,67,52,72,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Carmi,"city,",256,2319,0.110392411,136,2016,148,47,41,93,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Carol,Stream,1826,14038,0.130075509,366,12008,392,85,62,249,0,119,0,119,0,119,0,119,44,42,75,39,"village,",Illinois,,
Carpentersville,"village,",643,11239,0.057211496,301,10505,332,76,78,167,0,119,0,119,15,23,0,119,0,119,0,119,Illinois,,,
Carrier,Mills,296,766,0.386422977,99,449,99,21,24,80,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Carrollton,"city,",258,1268,0.203470032,105,996,107,0,119,68,14,15,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Carterville,"city,",1238,2201,0.562471604,164,922,155,17,24,184,0,119,0,119,10,16,0,119,0,119,14,24,Illinois,,,
Carthage,"city,",258,1129,0.228520815,108,796,97,43,31,90,17,19,0,119,7,11,0,119,8,13,0,119,Illinois,,,
Cary,"village,",178,5749,0.030961906,197,5544,183,8,13,85,0,119,0,119,0,119,0,119,8,13,11,18,Illinois,,,
Casey,"city,",204,1303,0.156561781,151,983,142,107,64,109,0,119,0,119,0,119,0,119,9,14,0,119,Illinois,,,
Caseyville,"village,",241,1632,0.147671569,156,1307,163,61,52,74,9,16,0,119,0,119,0,119,14,23,0,119,Illinois,,,
Catlin,"village,",148,734,0.201634877,67,580,65,0,119,58,0,119,0,119,0,119,0,119,6,10,0,119,Illinois,,,
Cave-In-Rock,"village,",19,122,0.155737705,35,99,31,4,7,13,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Cedar,Point,11,81,0.135802469,23,62,19,8,10,12,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Cedarville,"village,",67,319,0.210031348,55,250,54,0,119,32,0,119,0,119,0,119,0,119,2,5,0,119,Illinois,,,
Central,City,77,484,0.159090909,61,400,63,4,6,28,0,119,0,119,3,5,0,119,0,119,0,119,"village,",Illinois,,
Centralia,"city,",1123,5590,0.200894454,256,4323,282,45,29,191,53,42,0,119,9,14,0,119,18,22,19,21,Illinois,,,
Centreville,"city,",535,2025,0.264197531,154,1389,150,39,33,121,12,18,0,119,0,119,0,119,50,57,0,119,Illinois,,,
