NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Stewardson,"village,",46,281,0.163701068,54,224,44,11,12,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Stickney,"village,",82,2372,0.034569983,184,2235,183,29,32,57,0,119,0,119,0,119,0,119,26,41,0,119,Illinois,,,
Stillman,Valley,51,423,0.120567376,67,352,67,10,15,24,10,15,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Stockton,"village,",149,993,0.150050352,106,782,106,15,17,88,22,17,0,119,6,8,0,119,13,14,6,10,Illinois,,,
Stonefort,"village,",51,85,0.6,24,4,6,26,15,18,0,119,0,119,4,5,0,119,0,119,0,119,Illinois,,,
Stone,Park,101,1255,0.080478088,92,1154,91,0,119,70,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Stonington,"village,",17,339,0.050147493,60,316,60,6,9,12,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Stoy,"village,",0,20,0,13,16,12,0,119,119,0,119,0,119,4,6,0,119,0,119,0,119,Illinois,,,
Strasburg,"village,",30,198,0.151515152,44,158,42,6,8,18,0,119,0,119,1,3,0,119,3,5,0,119,Illinois,,,
Strawn,"village,",9,53,0.169811321,16,39,15,0,119,9,0,119,0,119,0,119,0,119,5,5,0,119,Illinois,,,
Streamwood,"village,",382,13054,0.029263061,385,12577,427,83,59,141,0,119,0,119,12,19,0,119,0,119,0,119,Illinois,,,
Streator,"city,",482,5467,0.088165356,284,4904,274,65,45,128,7,11,0,119,0,119,0,119,9,16,0,119,Illinois,,,
Stronghurst,"village,",12,483,0.02484472,77,471,75,0,119,11,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Sublette,"village,",61,205,0.297560976,41,144,35,0,119,21,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Sugar,Grove,175,2659,0.065814216,124,2472,202,12,18,124,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Sullivan,"city,",214,1922,0.111342352,140,1661,144,27,32,81,12,17,0,119,0,119,0,119,0,119,8,13,Illinois,,,
Summerfield,"village,",11,142,0.077464789,38,122,38,0,119,9,0,119,0,119,9,10,0,119,0,119,0,119,Illinois,,,
Summit,"village,",294,3359,0.087526049,230,3065,228,0,119,113,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Sumner,"city,",157,995,0.157788945,206,826,190,5,8,88,0,119,0,119,7,11,0,119,0,119,0,119,Illinois,,,
Sun,River,58,176,0.329545455,41,116,36,2,4,21,0,119,0,119,0,119,0,119,0,119,0,119,Terrace,"village,",Illinois,
Swansea,"village,",1486,5193,0.286154439,203,3597,251,110,65,226,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Sycamore,"city,",760,6770,0.11225997,293,5893,301,51,44,186,14,20,0,119,0,119,0,119,0,119,52,61,Illinois,,,
Symerton,"village,",0,31,0,12,2,6,25,10,119,0,119,0,119,0,119,0,119,4,10,0,119,Illinois,,,
Table,Grove,34,185,0.183783784,44,150,41,1,4,19,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Tallula,"village,",13,248,0.052419355,50,230,49,0,119,11,0,119,0,119,5,8,0,119,0,119,0,119,Illinois,,,
Tamaroa,"village,",132,340,0.388235294,56,172,46,18,22,51,0,119,0,119,14,16,0,119,4,6,0,119,Illinois,,,
Tamms,"village,",47,169,0.278106509,55,117,47,0,119,25,0,119,0,119,5,10,0,119,0,119,0,119,Illinois,,,
Tampico,"village,",10,287,0.034843206,65,277,62,0,119,14,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Taylor,Springs,10,147,0.068027211,35,130,34,7,5,7,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Taylorville,"city,",935,4979,0.187788713,220,3909,264,36,33,165,0,119,0,119,61,45,0,119,24,18,14,23,Illinois,,,
Tennessee,"village,",8,59,0.13559322,21,51,21,0,119,9,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Teutopolis,"village,",141,594,0.237373737,97,427,79,24,25,51,0,119,0,119,0,119,0,119,0,119,2,4,Illinois,,,
Thawville,"village,",2,73,0.02739726,18,65,18,3,5,5,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Thayer,"village,",41,207,0.198067633,38,157,35,6,6,19,0,119,0,119,3,6,0,119,0,119,0,119,Illinois,,,
Thebes,"village,",70,170,0.411764706,53,66,33,9,16,35,0,119,0,119,25,34,0,119,0,119,0,119,Illinois,,,
The,Galena,9,532,0.016917293,77,23,26,434,84,11,66,71,0,119,0,119,0,119,0,119,0,119,Territory,"CDP,",Illinois,
Third,Lake,14,477,0.029350105,66,463,65,0,119,13,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Thomasboro,"village,",20,483,0.041407867,68,454,68,6,6,13,0,119,0,119,0,119,0,119,3,4,0,119,Illinois,,,
Thompsonville,"village,",107,223,0.479820628,43,106,32,6,7,34,0,119,0,119,4,6,0,119,0,119,0,119,Illinois,,,
Thomson,"village,",33,208,0.158653846,55,170,45,2,3,30,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Thornton,"village,",34,937,0.036286019,116,891,117,7,12,31,0,119,0,119,5,7,0,119,0,119,0,119,Illinois,,,
