GEO_ID,S1903_C02_001E,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,NAME
1600000US1748645,32715,2895,202,89.8,3,6,3.5,0.9,1.3,0.3,0.4,0,1.1,1,1.2,1.9,2.7,2.7,1,87.7,3.1,4.3,2.4,30.9,4.2,32.4,4,32.4,2.9,1518,174,45.2,7.9,54.8,7.9,83.8,6.9,13.5,6.1,2.7,3.7,1377,220,55.4,9,55.4,9,0,2.3,44.6,9,31.7,8.7,12.9,6.3,25.4,(X),30.4,(X),20,(X),5270,33777,5760,25020,22096,-,**,"2,500-",***,-,**,50083,1922,52371,31261,60495,13756,33022,6019,24798,24600,50049,15757,40457,8043,24973,4939,44543,7018,58889,9006,41993,2978,48158,6917,26250,22369,68029,65668,23687,3969,14555,4052,14555,4052,-,**,29722,11287,26623,3374,47500,10813,(X),(X),(X),(X),(X),(X),"Metropolis city, Illinois"
1600000US1748671,139271,201,33,89.1,7.2,3.5,5.3,0,14.9,5,4.4,0,14.9,1,1.8,1.5,2.5,3.5,3.8,86.6,7.7,2,2.4,18.4,9.1,61.2,12,18.4,7.5,170,33,44.1,13.4,55.9,13.4,95.9,4.3,2.9,3.8,1.2,2.6,31,15,58.1,25.7,41.9,25.6,16.1,19.5,41.9,25.7,19.4,17.2,22.6,21.1,48.3,(X),50,(X),38.7,(X),25759,153750,23407,-,**,-,**,55000,56842,-,**,-,**,-,**,123250,136060,154643,21485,67500,115876,153036,45852,150625,40272,90417,32988,143750,23455,139479,21691,157917,77297,149375,25450,64583,55522,"250,000+",***,109375,81073,48750,154524,36875,92147,175417,218139,130417,44640,73750,115617,131250,165148,(X),(X),(X),(X),(X),(X),"Mettawa village, Illinois"
1600000US1748853,42500,140,27,99.3,2.2,0,20.5,0,20.5,0,20.5,0,20.5,0,20.5,0.7,2.2,0,20.5,99.3,2.2,2.1,6.8,35.7,15.5,33.6,13.7,28.6,11.6,90,25,27.8,17.7,72.2,17.7,77.8,16,15.6,15.3,6.7,6.3,50,20,62,23.8,46,20.5,16,18.9,38,23.8,32,23.3,6,9.4,34.3,(X),42.2,(X),20,(X),12689,43750,13516,-,**,-,**,-,**,-,**,-,**,-,**,-,**,43750,13516,-,**,53333,36521,50750,9030,30000,7166,47250,12895,36750,35569,53393,14567,56250,14471,22000,25516,31250,27370,30000,11074,27813,13541,21875,10030,52000,77671,31094,15071,30625,22682,-,**,(X),(X),(X),(X),(X),(X),"Middletown village, Illinois"
1600000US1748892,59739,4939,255,79.2,4.1,12.3,3.6,0.6,0.6,1.2,0.9,0,0.7,5.3,2.3,1.3,0.8,16.8,3.9,68.8,4.4,2.9,1.7,38.9,3.8,39.7,3.9,18.6,2.6,3552,177,47.9,5,52.1,5,68.5,4.7,19.4,4.6,12.2,3.2,1387,233,45.9,9.5,36.9,8.9,8.9,3.8,54.1,9.5,42.4,9.9,11.8,6.2,35.2,(X),36.3,(X),32.3,(X),4776,61259,4141,46827,21005,26429,156836,107614,111360,-,**,62857,22600,91071,50595,53814,5302,63070,4986,22125,33379,57813,10696,70393,11371,38844,6216,61808,6243,65764,10246,58278,7145,75112,5074,42050,20507,42010,5021,41635,11148,26622,4867,23250,5159,56250,26228,61285,9350,61556,11571,56250,51624,(X),(X),(X),(X),(X),(X),"Midlothian village, Illinois"
1600000US1749009,38675,2247,150,93.6,3.1,3,2,0,1.4,1.5,1.3,0,1.4,1.1,1.7,0.8,1,4.3,2.9,90.7,3.7,3.7,3.4,29.9,4.9,36.2,5.1,30.2,4.5,1417,116,39.8,8.2,60.2,8.2,64,8.5,26.3,6.8,9.7,5.4,830,144,54,9.9,52.2,9.9,1.8,2.1,46,9.9,32.4,8.5,13.6,8.6,26.8,(X),29.7,(X),21.8,(X),5333,37556,5564,59375,48386,-,**,102426,18547,-,**,-,**,4659,85964,30714,44527,38340,5074,"2,500-",***,44673,11991,47500,9420,25071,8628,49173,6477,31053,20576,57026,9394,65856,7372,15714,10555,35000,43795,24029,2561,17606,2078,17317,1873,32083,121544,36765,10414,27314,17430,44440,23620,(X),(X),(X),(X),(X),(X),"Milan village, Illinois"
1600000US1749048,37452,623,80,98.9,1.5,0.3,0.7,0,5.1,0,5.1,0,5.1,0,5.1,0.8,1.3,3.2,3.5,95.7,3.7,10.4,6.4,27.3,7.8,39.3,6.8,23,8.5,407,64,41.3,10.8,58.7,10.8,78.9,8.9,21.1,8.9,0,7.7,216,48,63.4,14.6,50,14.1,13.4,8.4,36.6,14.6,30.6,13.5,6,8.4,27.6,(X),30.5,(X),22.2,(X),7770,38125,7824,-,**,-,**,-,**,-,**,-,**,-,**,100577,123296,37308,7532,90063,120232,37167,30524,41797,8240,26250,8820,52792,5396,49167,33913,52950,4104,60781,9372,17143,4896,-,**,21944,4324,17438,3721,15625,2690,27159,34134,28125,19983,25357,6965,-,**,(X),(X),(X),(X),(X),(X),"Milford village, Illinois"
1600000US1749100,74000,86,23,100,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,100,30.5,3.5,5.2,43,18.8,37.2,14.3,16.3,14,68,19,48.5,18.3,51.5,18.3,95.6,6.6,4.4,6.6,0,35.7,18,17,83.3,31.2,83.3,31.2,0,69.9,16.7,31.2,16.7,31.2,0,69.9,18.6,(X),20.6,(X),11.1,(X),27019,74000,27019,-,**,-,**,-,**,-,**,-,**,-,**,-,**,74000,27019,-,**,86875,63338,95000,47590,29583,17241,95000,35636,117917,43171,73125,55723,98125,34142,-,**,-,**,70556,17144,70972,34542,70972,34542,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),"Millbrook village, Illinois"
1600000US1749178,22404,33,25,100,51.6,0,51.6,0,51.6,0,51.6,0,51.6,0,51.6,0,51.6,0,51.6,100,51.6,12.1,22.7,66.7,29.8,15.2,21.9,6.1,12.3,28,25,92.9,12.6,7.1,12.6,82.1,31.5,17.9,31.5,0,56,5,7,100,100,40,60,60,60,0,100,0,100,0,100,69.7,(X),64.3,(X),100,(X),45870,22404,45870,-,**,-,**,-,**,-,**,-,**,-,**,-,**,22404,45870,-,**,21731,40397,54583,21824,-,**,21731,17520,21538,16634,-,**,22212,31879,"2,500-",***,-,**,52917,78439,52917,78439,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),"Mill Creek village, Illinois"
1600000US1749191,42273,556,83,93.9,6.5,0,5.7,0,5.7,1.3,1.8,0,5.7,0,5.7,4.9,6.5,4,3.5,89.9,6.8,5.9,4.3,32.9,7.7,30.2,7.3,30.9,5.8,354,59,39,9.3,61,9.3,90.1,7,4.8,4.8,5.1,4.9,202,68,53,16.6,42.1,15.7,10.9,10,47,16.6,40.6,17.4,6.4,7.7,25.2,(X),30.8,(X),15.3,(X),10273,39125,7800,-,**,-,**,-,**,-,**,-,**,-,**,47813,34100,38000,9083,7292,29154,65313,28233,58000,11676,24063,4341,58947,9444,66250,25334,58088,6376,66094,11305,4861,48107,25833,5084,28676,7052,20156,5728,19375,4903,36000,54859,37813,24925,32250,44355,41625,29318,(X),(X),(X),(X),(X),(X),"Milledgeville village, Illinois"
1600000US1749308,57500,252,55,100,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,4.4,6.8,95.6,6.8,4.4,5.4,44,12.7,38.1,11.2,13.5,6.3,220,49,48.2,15,51.8,15,81.4,8.8,12.3,8.8,6.4,8.3,32,24,37.5,26.8,25,23.9,12.5,16.7,62.5,26.8,62.5,26.8,0,52.4,22.6,(X),21.4,(X),25,(X),13169,57500,13169,-,**,-,**,-,**,-,**,-,**,-,**,-,**,56442,7947,29219,28016,60179,16856,73846,19262,35833,6686,60000,20766,52857,12912,72692,14790,66094,17244,27625,25588,90909,50783,23750,38821,22500,55315,43750,57064,-,**,28750,88916,28750,88916,-,**,(X),(X),(X),(X),(X),(X),"Millington village, Illinois"
1600000US1749347,40192,102,38,100,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,100,26.7,25.5,24,7.8,8.4,36.3,17,30.4,16.1,85,39,35.3,26.4,64.7,26.4,90.6,9.6,9.4,9.6,0,30.7,17,9,47.1,30.4,47.1,30.4,0,71.9,52.9,30.4,52.9,30.4,0,71.9,16.7,(X),12.9,(X),35.3,(X),17644,40192,17644,-,**,-,**,-,**,-,**,-,**,-,**,-,**,40192,17644,29211,15936,35000,17320,43125,52071,39375,26089,41058,10410,29474,12681,42917,5892,41705,12924,23750,33074,-,**,17750,13577,11250,17643,11250,17643,-,**,18750,65716,18750,65716,-,**,(X),(X),(X),(X),(X),(X),"Mill Shoals village, Illinois"
1600000US1749386,56469,1621,117,99.3,1.2,0,2,0.7,1.2,0,2,0,2,0,2,0,2,0,2,99.3,1.2,2.3,2.7,26.7,6,41.6,6.8,29.4,7,1149,76,30,7,70,7,88.9,5.9,8.7,5.1,2.3,2.6,472,132,70.3,14.2,65.3,13.4,5.1,5.7,29.7,14.2,29.7,14.2,0,6.6,27.7,(X),24.3,(X),36,(X),8623,56844,8515,-,**,-,**,-,**,-,**,-,**,-,**,-,**,56844,8515,163287,172140,63029,12585,83450,30717,29844,15102,74327,26659,69792,34565,83600,34085,87500,18461,47692,31953,24911,162734,26939,5491,25750,3136,25781,3345,14808,244739,45333,8537,45333,8537,-,**,(X),(X),(X),(X),(X),(X),"Millstadt village, Illinois"
1600000US1749477,37109,89,34,100,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,100,29.7,19.1,14.5,25.8,17.2,28.1,18.5,27,25.4,72,32,40.3,22.9,59.7,22.9,93.1,12.8,6.9,12.8,0,34.4,17,14,100,71.9,41.2,40.6,58.8,40.6,0,71.9,0,71.9,0,71.9,34.8,(X),29.2,(X),58.8,(X),5843,37109,5843,-,**,-,**,-,**,-,**,-,**,-,**,-,**,37109,5843,24375,142867,42361,52151,39792,64228,35625,25602,36875,7421,31250,46552,37109,6950,37266,19935,-,**,-,**,38125,75294,38125,75294,-,**,39583,364925,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),"Milton village, Illinois"
1600000US1749516,33409,114,31,100,24.4,0,24.4,0,24.4,0,24.4,0,24.4,0,24.4,0,24.4,2.6,5.3,97.4,5.3,8.8,13.3,35.1,14.6,21.9,8.8,34.2,13.4,73,27,52.1,17.7,47.9,17.7,75.3,19.9,21.9,20.1,2.7,4.3,41,18,46.3,24.4,46.3,24.4,0,46.3,53.7,24.4,53.7,24.4,0,46.3,15.8,(X),2.7,(X),39,(X),8075,33409,8075,-,**,-,**,-,**,-,**,-,**,-,**,60625,29163,33068,9042,-,**,41250,52367,35625,22374,16442,1347,39583,12616,36250,13659,56875,18787,49583,23399,17000,22267,-,**,16932,7227,12321,2773,12321,2773,-,**,19167,28915,19167,28915,-,**,(X),(X),(X),(X),(X),(X),"Mineral village, Illinois"
1600000US1749555,50585,500,66,99.4,1.1,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0.6,1.1,1,1.2,98.4,1.5,1.8,1.6,28.8,7.7,35.2,7,34.2,7.3,363,57,36.6,10.7,63.4,10.7,71.9,7.8,18.5,6.6,9.6,7.2,137,37,59.9,13.4,59.9,13.4,0,20.9,40.1,13.4,37.2,14.5,2.9,4.4,31.6,(X),32.2,(X),29.9,(X),5073,50665,4518,-,**,-,**,-,**,-,**,-,**,-,**,19583,164316,50691,4360,21250,11609,51250,15104,52778,5869,40375,9330,52006,3305,55481,7551,50357,10854,60781,16296,41442,10170,24688,46428,32917,13556,32273,14083,32273,14083,-,**,38750,15023,32292,17952,-,**,(X),(X),(X),(X),(X),(X),"Minier village, Illinois"
1600000US1749568,47583,1015,82,98.6,2.3,0,3.1,0,3.1,1.4,2.3,0,3.1,0,3.1,0,3.1,1.2,2.2,97.4,2.4,3.8,3.5,38.7,5.6,34.4,5.1,23.1,3.8,717,82,49.2,6.8,50.8,6.8,74.8,7.3,19.9,7.9,5.3,4.7,298,79,57,11.4,55.4,11.4,1.7,3,43,11.4,40.9,11.5,2,2.9,32.5,(X),27.1,(X),45.6,(X),6738,46992,6705,-,**,-,**,-,**,-,**,-,**,-,**,-,**,47461,6830,35938,12650,50481,9114,74609,20010,24583,6545,68618,14219,46875,13636,78393,14529,85904,7649,14236,10666,22262,37377,23226,3512,20385,8354,19821,9490,-,**,24500,19888,24200,14723,-,**,(X),(X),(X),(X),(X),(X),"Minonk city, Illinois"
1600000US1749607,80325,3084,139,93.1,2.5,3.2,1.5,0,1,0.7,1,0,1,1.3,1.2,1.6,1.8,11.3,3.4,83.6,4,0.6,0.8,55.5,4.9,35,4.2,9,2.9,2514,130,61.1,4.9,38.9,4.9,83.1,5.4,14.8,5.2,2.1,1.6,570,126,57.7,11.7,43.9,12.5,13.9,10.4,42.3,11.7,37.5,11.1,4.7,6,23.6,(X),22,(X),22.6,(X),5720,79726,5949,101528,48561,-,**,51917,286405,-,**,93750,42418,88864,45453,47768,11637,81938,3684,-,**,80534,5073,92594,11042,42500,7260,86204,7359,81912,7926,93963,14878,93856,8087,41458,7999,48068,55264,46389,6168,44899,4109,41591,9776,65368,43971,51213,17367,50221,13152,82589,2083,(X),(X),(X),(X),(X),(X),"Minooka village, Illinois"
1600000US1749698,52885,480,83,100,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,100,6.5,0,6.5,23.5,12.3,46.3,12.8,30.2,9.2,372,87,27.4,14.7,72.6,14.7,69.9,18.6,23.4,19.1,6.7,9.2,108,53,52.8,22.5,52.8,22.5,0,25.5,47.2,22.5,34.3,24.7,13,19,32.1,(X),37.9,(X),12,(X),15924,52885,15924,-,**,-,**,-,**,-,**,-,**,-,**,-,**,52885,15924,-,**,72991,37203,66786,25942,33456,18799,59615,23208,73482,38468,56250,18962,62917,18552,85409,108465,-,**,35682,17500,30982,18178,30982,18178,-,**,65096,59319,66442,28572,-,**,(X),(X),(X),(X),(X),(X),"Mitchell CDP, Illinois"
1600000US1749802,40833,78,23,98.7,3.4,0,32.7,1.3,3.4,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,98.7,3.4,2.6,4,38.5,15.1,28.2,16.6,30.8,14.3,59,23,47.5,20.2,52.5,20.2,69.5,19,11.9,16.6,18.6,18.7,19,9,36.8,28.6,36.8,28.6,0,68,63.2,28.6,63.2,28.6,0,68,16.7,(X),11.9,(X),31.6,(X),15364,41250,15758,-,**,-,**,-,**,-,**,-,**,-,**,-,**,41250,15758,-,**,48214,12572,60000,52863,29286,3024,33542,15323,30833,9400,58750,40819,60625,24245,-,**,30536,20999,28750,15405,28250,20994,28250,20994,-,**,40833,39555,40833,39555,-,**,(X),(X),(X),(X),(X),(X),"Modesto village, Illinois"
1600000US1749854,99637,6051,223,93.9,2.7,0.5,0.8,0,0.5,0.4,0.5,0,0.5,3.5,1.9,1.6,1.7,5.3,2.3,91.4,3.2,2.4,1.9,36.6,3.7,48.8,3.5,12.3,1.6,4812,185,52.2,3.4,47.8,3.4,83.6,3.9,9.3,2.9,7.2,3.2,1239,250,57.2,11.2,43.1,10.3,14.1,8.2,42.8,11.2,40,10.8,2.7,2.8,27.8,(X),29.2,(X),21.2,(X),4766,101196,4359,-,**,-,**,152917,102824,-,**,67832,6699,6765,178625,69235,43499,101698,5111,7316,47156,101827,8261,111121,8523,40839,2820,107319,6152,106507,6678,108259,9453,115205,7592,52000,13355,73482,14435,53750,4539,47121,9242,39896,8680,75907,25503,67612,24295,56897,18058,215139,123356,(X),(X),(X),(X),(X),(X),"Mokena village, Illinois"
1600000US1749867,49290,18238,370,87.7,1.3,3.5,0.9,0.1,0.1,2,0.6,0,0.2,5.3,1,1.3,0.5,10.7,1.2,83.1,1.3,5.4,1.1,32.2,1.6,37.9,1.8,24.6,1.2,11538,349,41.5,2.4,58.5,2.4,77.1,2.6,17.9,2.5,5.1,1.3,6700,502,51.3,4,47.8,3.8,3.5,1.3,48.7,4,38.1,4,10.7,3,24.8,(X),24.6,(X),23.9,(X),2692,50816,2400,29348,9425,30795,20767,66445,17523,-,**,37808,5034,37031,17283,37603,3346,51329,2362,22950,9949,50827,3474,62646,3737,37782,2692,60138,2474,56201,4345,61509,2278,68542,3399,32612,5549,48487,11138,31382,3045,25817,2380,24588,2692,58750,23908,38278,4503,33459,5529,53750,12730,(X),(X),(X),(X),(X),(X),"Moline city, Illinois"
1600000US1749893,44750,1267,142,87.7,6.6,3.4,3.4,0.6,1.1,0,2.5,0,2.5,7.2,5.5,1.1,1.7,20.3,6.7,75.7,7.8,7.3,5.2,31.5,6.6,42.1,7.3,19,5.9,897,123,49.3,7.3,50.7,7.3,58,9.6,35.2,10,6.8,5.5,370,108,54.3,15.8,44.3,14.7,10,7.2,45.7,15.8,29.2,11.6,16.5,13.8,33.1,(X),33.4,(X),30.8,(X),5712,47006,8904,24353,33929,"2,500-",***,-,**,-,**,31875,25244,-,**,42823,12692,52771,10191,32153,23415,53250,14525,53194,9381,34650,15223,49107,12401,40060,16928,56648,7902,60529,6020,33864,18104,22383,46831,33571,8359,23125,16586,18750,15205,29861,29711,36157,10294,35000,15377,43393,11742,(X),(X),(X),(X),(X),(X),"Momence city, Illinois"
1600000US1749945,69534,1889,111,88.6,3.7,8.8,3,0,1.7,0,1.7,0,1.7,2,2.4,0.7,1.1,7.4,5,83.1,5.5,4.3,3.4,41,5.2,28.9,6,25.8,4.5,1343,95,49.7,6.9,50.3,6.9,85.2,5.6,13.1,5.2,1.7,2.5,546,148,46,15.5,31,13.6,15,10.6,54,15.5,45.1,15.4,9,6.6,29.9,(X),33.3,(X),21.4,(X),6384,69338,6134,71667,24443,-,**,-,**,-,**,21850,100360,-,**,37857,44750,70679,6000,52222,42307,80718,13420,85982,23674,38990,10315,75125,11537,87616,18673,72679,8753,80253,8390,48333,53086,-,**,49345,10628,52625,19893,28365,23739,70663,9581,48244,13627,47798,13693,51563,115442,(X),(X),(X),(X),(X),(X),"Monee village, Illinois"
1600000US1750010,34403,3448,263,90.8,2,2.2,1.1,0,0.9,0.7,0.6,0,0.9,5.8,1.9,0.5,0.7,8.3,1.1,88.9,1.5,4.7,2.7,33.6,3.6,36.4,3.6,25.3,3.4,2072,229,44.9,6.6,55.1,6.6,75.6,6.8,19.4,5.4,5,3.7,1376,227,55.1,7.8,52.5,7.9,2.5,2.5,44.9,7.8,35.5,9.2,9.4,5.9,22.2,(X),19.5,(X),26.2,(X),5148,34830,6367,31061,6615,-,**,46917,18715,-,**,17367,64582,31607,22340,45170,38457,34545,5422,21094,907,45684,22080,44574,8655,22469,5584,43155,4746,45125,14542,43125,3737,50789,5342,17188,14936,42250,35683,20397,2215,18632,2191,18171,2197,72813,45067,23929,10007,22407,12496,38750,52147,(X),(X),(X),(X),(X),(X),"Monmouth city, Illinois"
1600000US1750062,66023,193,36,98.4,2.3,0,15.4,0,15.4,0,15.4,0,15.4,1.6,2.3,0,15.4,1.6,2.3,98.4,2.3,0,15.4,47.2,11.8,37.8,11.7,15,6.9,162,35,46.9,14.2,53.1,14.2,83.3,10.7,3.7,6,13,9.4,31,22,54.8,28.6,48.4,28.5,6.5,9.7,45.2,28.6,29,24.2,16.1,22,30.6,(X),30.9,(X),29,(X),7492,66364,7499,-,**,-,**,-,**,-,**,-,**,-,**,-,**,66364,7499,-,**,71250,9455,71250,16048,45625,6648,67000,8067,78000,8169,53750,13534,71125,6117,-,**,58906,10667,45625,20359,21250,32359,20417,24926,-,**,55000,16332,46875,13104,78438,13651,(X),(X),(X),(X),(X),(X),"Monroe Center village, Illinois"
1600000US1750218,68895,5440,277,79.6,3.6,5.9,2.4,0.6,0.6,3.2,1.2,0,0.6,9.3,3,1.4,1.5,17.8,3.4,69.7,4.3,2.1,1.3,47.8,4.8,33.6,4.5,16.5,2.8,4022,209,59.3,4.5,40.7,4.5,84.6,3.9,9.8,2.8,5.6,2.5,1418,242,55.6,9.3,51.8,9,3.7,2.8,44.4,9.3,34.8,9.1,9.7,5.4,27,(X),27.7,(X),23.6,(X),4390,69506,5047,63942,21811,26845,30614,93365,24039,-,**,66572,12516,73670,14431,65382,4782,70344,5108,41292,26629,84597,7657,70429,5942,27571,5029,75741,4275,77708,7501,71716,6460,80426,6803,49032,9944,65455,23440,33922,3418,27663,4694,26134,3901,85313,59332,41000,25536,33695,5386,106250,66118,(X),(X),(X),(X),(X),(X),"Montgomery village, Illinois"
1600000US1750244,57141,2141,165,100,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0.3,0.5,99.7,0.5,0.7,0.9,31.9,3.3,38.7,3.9,28.7,3,1499,133,44.1,6.2,55.9,6.2,85.5,6.4,12.1,5.7,2.3,2.7,642,150,62.6,13.2,58.4,13.5,4.2,4.9,37.4,13.2,34.1,14,3.3,5,23.4,(X),24.5,(X),20.7,(X),3545,57141,3545,-,**,-,**,-,**,-,**,-,**,-,**,-,**,57080,3451,25500,6245,57895,9284,70640,5864,34367,2531,69592,5899,67734,16393,70407,4527,73265,5008,39500,23079,103438,49093,27157,5714,28158,4266,27928,4729,70515,69297,25476,27474,21823,43837,-,**,(X),(X),(X),(X),(X),(X),"Monticello city, Illinois"
1600000US1750283,33750,74,22,100,33.8,0,33.8,0,33.8,0,33.8,0,33.8,0,33.8,0,33.8,1.4,2.8,98.6,2.8,8.1,6.7,12.2,9.3,43.2,17,36.5,16.3,47,18,27.7,16.4,72.3,16.4,66,17.3,19.1,14.6,14.9,17.8,27,15,74.1,23.8,74.1,23.8,0,57.1,25.9,23.8,18.5,19.6,7.4,12.4,23,(X),19.1,(X),29.6,(X),13602,33750,13602,-,**,-,**,-,**,-,**,-,**,-,**,"2,500-",***,34375,13693,28750,16341,22188,26583,48125,23847,14583,13957,48542,20255,35417,16386,53000,14965,36964,6919,49688,12692,53250,27433,14028,7619,13056,3063,13056,3063,-,**,33125,24077,22083,25129,-,**,(X),(X),(X),(X),(X),(X),"Montrose village, Illinois"
1600000US1750491,58681,5376,249,96.4,1.9,1.3,1.2,0.1,0.2,0.7,0.9,0,0.6,0.7,0.7,0.9,0.9,5.9,1.9,91.2,2.7,2.4,1.4,37.3,2.6,35.3,2.8,25,2.4,3549,205,52,4.9,48,4.9,78.1,5,15.6,4,6.2,2.8,1827,213,57.6,7.5,47.7,7.2,9.9,5.1,42.4,7.5,37.4,7.9,4.9,3.5,25.9,(X),23.1,(X),30.9,(X),4015,60071,3872,50476,29114,-,**,"250,000+",***,-,**,36484,16764,50370,66629,48220,8105,60343,3735,34479,55565,66820,6227,71410,8594,36250,6379,71173,4946,68733,8680,72500,7278,77691,4107,42218,12317,75859,14686,32934,5624,28304,8827,20756,7026,64702,3894,48833,8488,44031,11402,92045,24301,(X),(X),(X),(X),(X),(X),"Morris city, Illinois"
1600000US1750530,43886,1681,170,96.1,3.3,0,1.9,0,1.9,0,1.9,1.4,1.9,0,1.9,2.6,2.9,2.1,2.3,94,3.9,4.8,2.5,26.4,5.4,34.6,6,34.3,5.4,1042,133,39.1,6.6,60.9,6.6,74,9.4,24.7,9.3,1.3,1.9,639,142,56.3,11.4,52.7,11.2,3.6,4,43.7,11.4,36,10.5,7.7,7.1,20.8,(X),20.7,(X),21,(X),8946,44341,8003,-,**,-,**,-,**,-,**,-,**,-,**,39009,849,44864,8303,30750,40657,53906,16542,54423,13461,28036,5395,48571,12457,39361,20170,55677,13111,61394,8944,30298,10324,60313,104379,28542,4747,26912,7330,25221,6144,62396,84484,29041,30681,29767,42438,21655,57055,(X),(X),(X),(X),(X),(X),"Morrison city, Illinois"
1600000US1750543,44625,391,55,97.4,2.8,0,8,1.3,2.1,1.3,1.8,0,8,0,8,0,8,0,8,97.4,2.8,1.5,2.5,23,8.4,40.2,8.4,35.3,7.9,305,49,41.6,10.2,58.4,10.2,85.2,6.3,5.9,4.4,8.9,5,86,30,55.8,18.5,53.5,20.2,2.3,6.7,44.2,18.5,38.4,18.4,5.8,8.2,22.5,(X),23.9,(X),14,(X),8841,44625,8833,-,**,-,**,-,**,-,**,-,**,-,**,-,**,44625,8833,-,**,60455,16352,59107,15427,28750,5757,52917,14217,60156,7869,42188,10966,60833,7872,31786,9983,40750,9299,19531,3650,18214,6379,17857,3944,-,**,20833,8708,19861,4559,-,**,(X),(X),(X),(X),(X),(X),"Morrisonville village, Illinois"
1600000US1750621,67305,6462,225,97.9,1.2,0.6,0.8,0,0.5,0.5,0.4,0,0.5,0.1,0.2,0.9,0.6,1.3,0.7,96.8,1.2,1.9,1.1,31.5,2.6,37.2,3,29.4,2.3,4629,192,40,3.5,60,3.5,86.6,2.8,10.2,2.8,3.2,1.3,1833,237,56.2,7.8,53.3,7.6,2.9,2.2,43.8,7.8,37.2,7.2,6.6,4.1,26.8,(X),22.9,(X),36.6,(X),5475,68654,6047,-,**,-,**,64091,21769,-,**,-,**,48036,10585,14698,63945,69038,5990,47679,31312,76241,3685,84424,3386,39479,8740,80575,3465,84931,7604,78777,4714,83990,3383,38365,18757,67688,31279,36787,3663,27630,4011,25742,5247,42614,9554,61014,13196,61765,14414,51719,51327,(X),(X),(X),(X),(X),(X),"Morton village, Illinois"
